Player,price
Harry Maguire," £1,560,000.00 "
Harry Souttar," £1,560,000.00 "
Harry Toffolo," £1,300,000.00 "
Harry Wilson," £3,276,000.00 "
Harvey Barnes," £1,560,000.00 "
Harvey Elliott," £1,950,000.00 "
Hugo Bueno," £1,092,000.00 "
Hugo Lloris," £1,560,000.00 "
Hwang Hee-Chan," £1,560,000.00 "
Ibrahima Diallo," £1,560,000.00 "
Ibrahima Konaté," £15,600,000.00 "
Idrissa Gueye," £1,560,000.00 "
Ilkay Gündogan," £1,300,000.00 "
Illan Meslier," £18,200,000.00 "
Illia Zabarnyi," £1,560,000.00 "
Issa Diop," £1,100,000.00 "
Ivan Perisic," £1,560,000.00 "
Ivan Toney," £2,340,000.00 "
Jack Colback," £7,280,000.00 "
Jack Grealish," £1,560,000.00 "
Jack Harrison," £3,390,000.00 "
Jack Stacey," £1,200,000.00 "
Jack Stephens," £1,560,000.00 "
Jacob Murphy," £833,333.00 "
Jacob Ramsey," £3,900,000.00 "
Jadon Sancho," £2,100,000.00 "
Jaidon Anthony," £2,912,000.00 "
Jairo Riedewald," £4,130,000.00 "
Jakub Kiwior," £1,560,000.00 "
Jamaal Lascelles," £2,600,000.00 "
James Bree," £1,560,000.00 "
James Garner," £860,000.00 "
James Justin," £3,900,000.00 "
James Maddison," £1,560,000.00 "
James Milner," £1,560,000.00 "
James Tarkowski," £1,560,000.00 "
James Tomkins," £1,040,000.00 "
James Ward-Prowse," £1,560,000.00 "
Jamie Vardy," £4,500,000.00 "
Jan Bednarek," £1,907,000.00 "
Jan Paul van Hecke," £1,560,000.00 "
Japhet Tanganga," £936,000.00 "
Jarrod Bowen," £2,600,000.00 "
Jason Steele," £1,560,000.00 "
Javier Manquillo," £2,200,000.00 "
Jean-Philippe Mateta," £1,300,000.00 "
Jefferson Lerma," £7,800,000.00 "
Jeffrey Schlupp," £1,560,000.00 "
Jeremy Sarmiento," £1,560,000.00 "
Jesse Lingard," £920,000.00 "
Jhon Durán," £5,720,000.00 "
Joachim Andersen," £1,560,000.00 "
João Cancelo," £3,120,000.00 "
João Félix," £1,560,000.00 "
João Gomes," £5,720,000.00 "
João Moutinho," £1,560,000.00 "
João Palhinha," £4,680,000.00 "
Joe Aribo," £1,560,000.00 "
Joe Gomez," £2,340,000.00 "
Joe Rothwell," £7,800,000.00 "
Joe Willock," £1,560,000.00 "
Joe Worrall," £3,380,000.00 "
Joël Matip," £1,560,000.00 "
Joel Robles," £2,500,000.00 "
Joël Veltman," £1,040,000.00 "
Joel Ward," £1,560,000.00 "
Joelinton," £9,360,000.00 "
John McGinn," £1,560,000.00 "
John Stones," £3,640,000.00 "
Jonjo Shelvey," £2,340,000.00 "
Jonny," £9,100,000.00 "
Jonny Evans," £2,610,000.00 "
Jordan Ayew," £1,560,000.00 "
Jordan Henderson," £1,560,000.00 "
Jordan Pickford," £2,600,000.00 "
Jordan Zemura," £2,600,000.00 "
Jorginho," £1,820,000.00 "
José Sá," £10,400,000.00 "
Joseph Hodge," £1,040,000.00 "
Josh Dasilva," £1,040,000.00 "
Julián Álvarez," £1,976,000.00 "
Julio Enciso," £1,690,000.00 "
Junior Firpo," £3,900,000.00 "
Junior Stanislas," £2,600,000.00 "
Kai Havertz," £2,340,000.00 "
Kalidou Koulibaly," £5,200,000.00 "
Kalvin Phillips," £3,380,000.00 "
Kamaldeen Sulemana," £1,170,000.00 "
Kaoru Mitoma," £1,430,000.00 "
Keane Lewis-Potter," £3,380,000.00 "
Kelechi Iheanacho," £1,560,000.00 "
Kenny Tete," £1,560,000.00 "
Kepa," £1,560,000.00 "
Kevin De Bruyne," £18,200,000.00 "
Kevin Schade," £1,560,000.00 "
Kieffer Moore," £1,200,000.00 "
Kieran Tierney," £3,120,000.00 "
Kieran Trippier," £4,160,000.00 "
Kiernan Dewsbury-Hall," £1,560,000.00 "
Konstantinos Tsimikas," £4,290,000.00 "
Kristoffer Ajer," £5,525,000.00 "
Kurt Zouma," £1,560,000.00 "
Kyle Walker," £1,040,000.00 "
Kyle Walker-Peters," £4,800,000.00 "
Leander Dendoncker," £810,000.00 "
Leandro Trossard," £1,560,000.00 "
Leon Bailey," £1,560,000.00 "
Levi Colwill," £3,360,000.00 "
Lewis Cook," £1,560,000.00 "
Lewis Dunk," £1,560,000.00 "
Lewis Hall," £2,600,000.00 "
Lewis O'Brien," £3,120,000.00 "
Liam Cooper," £7,280,000.00 "
Lisandro Martínez," £1,560,000.00 "
Lloyd Kelly," £1,404,000.00 "
Lucas Digne," £4,930,000.00 "
Lucas Moura," £1,560,000.00 "
Lucas Paquetá," £7,800,000.00 "
Luis Díaz," £1,560,000.00 "
Luis Sinisterra," £1,560,000.00 "
Luka Milivojevic," £3,900,000.00 "
Lukasz Fabianski," £1,560,000.00 "
Luke Ayling," £3,500,000.00 "
Luke Shaw," £4,680,000.00 "
Luke Thomas," £1,560,000.00 "
Lyanco," £2,600,000.00 "
Mads Roerslev," £1,560,000.00 "
Manor Solomon," £1,560,000.00 "
Manuel Akanji," £1,820,000.00 "
Manuel Lanzini," £3,230,000.00 "
Marc Albrighton," £1,560,000.00 "
Marc Cucurella," £2,660,000.00 "
Marc Guéhi," £1,560,000.00 "
Marc Roca," £11,700,000.00 "
Marcel Sabitzer," £2,080,000.00 "
Marcos Senesi," £6,500,000.00 "
Marcus Rashford," £16,900,000.00 "
Marcus Tavernier," £1,560,000.00 "
Mario Lemina," £13,000,000.00 "
Martin Ødegaard," £3,640,000.00 "
Mason Holgate," £4,680,000.00 "
Mason Mount," £6,240,000.00 "
Mateo Kovacic," £2,704,000.00 "
Matheus Cunha," £1,560,000.00 "
Matheus Nunes," £2,040,000.00 "
Mathias Jensen," £1,560,000.00 "
Matías Viña," £1,560,000.00 "
Matt Doherty," £16,900,000.00 "
Matt Ritchie," £1,560,000.00 "
Matt Targett," £1,560,000.00 "
Matty Cash," £9,013,333.00 "
Maximilian Kilman," £2,300,000.00 "
Maximilian Wöber," £1,560,000.00 "
Maxwel Cornet," £1,560,000.00 "
Michael Keane," £1,110,000.00 "
Michael Olise," £2,173,600.00 "
Michail Antonio," £1,820,000.00 "
Miguel Almirón," £3,000,000.00 "
Mikkel Damsgaard," £1,560,000.00 "
Mohamed Elyounoussi," £1,200,000.00 "
Mohamed Salah," £1,560,000.00 "
Mohammed Salisu," £780,000.00 "
Moisés Caicedo," £3,603,600.00 "
Morgan Gibbs-White," £3,120,000.00 "
Moussa Djenepo," £3,640,000.00 "
Moussa Niakhaté," £2,600,000.00 "
Mykhailo Mudryk," £1,300,000.00 "
Naby Keïta," £1,820,000.00 "
Nampalys Mendy," £1,560,000.00 "
Naouirou Ahamada," £2,500,000.00 "
Nathan Aké," £1,560,000.00 "
Nathan Collins," £1,560,000.00 "
Nathan Patterson," £780,000.00 "
Nathaniel Clyne," £1,560,000.00 "
Nathaniel Phillips," £10,400,000.00 "
Nayef Aguerd," £1,560,000.00 "
Neal Maupay," £8,580,000.00 "
Neco Williams," £4,160,000.00 "
Neeskens Kebano," £1,300,000.00 "
Nélson Semedo," £2,180,000.00 "
Neto," £1,560,000.00 "
N'Golo Kanté," £1,560,000.00 "
Nick Pope," £3,500,000.00 "
Noni Madueke," £1,560,000.00 "
Odsonne Édouard," £2,110,000.00 "
Oleksandr Zinchenko," £1,560,000.00 "
Oliver Skipp," £1,560,000.00 "
Ollie Watkins," £1,560,000.00 "
Orel Mangala," £3,900,000.00 "
Pablo Fornals," £1,456,000.00 "
Pablo Sarabia," £4,160,000.00 "
Pape Sarr," £6,240,000.00 "
Pascal Groß," £11,440,000.00 "
Pascal Struijk," £3,016,000.00 "
Patrick Bamford," £1,600,000.00 "
Patson Daka," £1,560,000.00 "
Paul Onuachu," £1,560,000.00 "
Pedro Neto," £1,560,000.00 "
Pedro Porro," £1,560,000.00 "
Pervis Estupiñán," £2,080,000.00 "
Phil Foden," £1,560,000.00 "
Philip Billing," £2,080,000.00 "
Philippe Coutinho," £2,600,000.00 "
Pierre-Emerick Aubameyang," £1,560,000.00 "
Pierre-Emile Højbjerg," £1,560,000.00 "
Pontus Jansson," £1,560,000.00 "
Raheem Sterling," £1,560,000.00 "
Raphaël Varane," £1,560,000.00 "
